sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
153,4388,197756.0,3116.0,3119.102,852.962
154,4405,197766.0,3114.0,3118.6938,852.46545
155,4421,197776.0,3115.0,3118.3984,852.1062
156,4439,197806.0,3114.0,3117.2954,850.7647
157,4455,197816.0,3116.0,3117.192,850.6388
158,4472,197836.0,3101.0,3114.9255,847.88245
159,4488,197856.0,3116.0,3115.9736,849.1571
160,4505,197866.0,3115.0,3115.8958,849.0624
161,4522,197886.0,3112.0,3115.518,848.603
162,4538,197906.0,3114.0,3125.6624,860.94073
163,4555,197926.0,3118.0,3124.191,859.1511
164,4570,197936.0,3116.0,3123.5356,858.3541
165,4588,197946.0,3102.0,3121.8127,856.2587
166,4606,197976.0,3112.0,3119.494,853.43854
167,4620,197986.0,3129.0,3120.2544,854.36346
168,4638,198006.0,3114.0,3119.441,853.3741
169,4656,198026.0,3115.0,3118.685,852.4548
170,4671,198036.0,3116.0,3118.4702,852.1935
171,4687,198056.0,3111.0,3120.1196,854.1996
172,4705,198076.0,3115.0,3119.3333,853.24316
173,4721,198086.0,3116.0,3119.0667,852.91895
174,4739,198106.0,3082.0,3115.802,848.9484
175,4755,198116.0,3117.0,3115.898,849.06506
176,4770,198136.0,3115.0,3113.552,846.2119
177,4788,198156.0,3118.0,3113.941,846.6849
178,4805,198176.0,3117.0,3114.2637,847.07745
179,4822,198186.0,3119.0,3114.6426,847.53827
180,4838,198206.0,3117.0,3113.7534,846.45685
181,4855,198226.0,3112.0,3113.7048,846.39777
182,4872,198236.0,3113.0,3113.6484,846.32916
183,4888,198246.0,3111.0,3113.4365,846.0715
184,4906,198276.0,3126.0,3114.9568,847.9204
185,4921,198286.0,3115.0,3114.9602,847.9246
186,4937,198306.0,3119.0,3115.507,848.58966
187,4955,198326.0,3114.0,3114.3186,847.1442
188,4973,198336.0,3127.0,3115.333,848.378
189,4988,198356.0,3114.0,3115.202,848.2185
190,5005,198376.0,2966.0,3103.1772,833.59393
191,5021,198386.0,3116.0,3104.2031,834.8416
192,5038,198396.0,3114.0,3104.9868,835.7948
193,5055,198426.0,3133.0,3108.422,839.97284
194,5072,198436.0,3115.0,3108.9482,840.61273
195,5088,198456.0,3114.0,3109.7979,841.64606
196,5103,198466.0,3064.0,3106.134,837.19
197,5122,198486.0,3115.0,3103.7424,834.2813
198,5139,198506.0,3118.0,3105.7117,836.6764
199,5156,198526.0,3112.0,3106.8984,838.11975
200,5171,198536.0,3116.0,3107.6265,839.0052
201,5189,198546.0,3111.0,3107.8962,839.33325
202,5204,198566.0,3116.0,3110.392,842.3688
203,5222,198586.0,3114.0,3111.8293,844.11676
204,5239,198606.0,3114.0,3112.1626,844.52203
205,5256,198626.0,3116.0,3113.7087,846.40247
206,5272,198636.0,3115.0,3113.812,846.52814
207,5288,198657.0,3128.0,3115.1082,848.1045
208,5305,198667.0,3114.0,3115.0195,847.99677
209,5321,198687.0,3115.0,3115.2373,848.2616
210,5338,198697.0,3132.0,3116.5784,849.8926
211,5354,198717.0,3103.0,3114.493,847.35626
212,5370,198737.0,3116.0,3112.6636,845.1314
213,5388,198757.0,3115.0,3113.0225,845.5679
214,5404,198767.0,3142.0,3115.3406,848.38715
215,5421,198787.0,3115.0,3116.3186,849.57666
216,5436,198797.0,3115.0,3116.2131,849.4484
217,5455,198817.0,3114.0,3116.0203,849.2138
218,5471,198837.0,3128.0,3116.6829,850.01965
219,5489,198837.0,3128.0,3116.6829,850.01965
220,5505,198877.0,3115.0,3116.2793,849.5289
221,5522,198887.0,3144.0,3118.4968,852.2259
222,5540,198887.0,3144.0,3118.4968,852.2259
223,5555,198917.0,3088.0,3114.7502,847.6692
224,5572,198937.0,3132.0,3116.443,849.7281
225,5588,198957.0,3112.0,3115.0247,848.003
226,5606,198967.0,3160.0,3118.6226,852.3788
227,5620,198987.0,3114.0,3117.986,851.6047
228,5637,199007.0,3098.0,3115.137,848.1395
229,5655,199017.0,3114.0,3115.046,848.02875
230,5672,199037.0,3116.0,3118.5044,852.23505
231,5689,199057.0,3114.0,3116.5613,849.8718
232,5705,199067.0,3132.0,3117.7964,851.37396
233,5722,199087.0,3116.0,3117.3733,850.85944
234,5739,199107.0,3112.0,3116.7688,850.1242
235,5755,199117.0,3101.0,3115.5073,848.59
236,5773,199137.0,3116.0,3114.258,847.0706
237,5788,199147.0,3114.0,3114.2373,847.04535
238,5805,199167.0,3087.0,3112.1145,844.46356
239,5822,199187.0,3115.0,3112.5579,845.0028
240,5838,199207.0,3114.0,3111.896,844.1978
241,5855,199217.0,3117.0,3112.3044,844.6946
242,5871,199237.0,3100.0,3111.6658,843.9178
243,5889,199257.0,3114.0,3112.3188,844.7121
244,5906,199267.0,3117.0,3112.6934,845.1676
245,5921,199287.0,3116.0,3113.054,845.60614
246,5939,199307.0,3100.0,3112.1528,844.5102
247,5956,199317.0,3117.0,3112.5405,844.98175
248,5972,199337.0,3115.0,3112.6975,845.17267
249,5989,199357.0,3116.0,3112.1746,844.5366
250,6005,199367.0,3118.0,3112.6406,845.10345
251,6022,199387.0,3118.0,3114.1262,846.9103
252,6038,199407.0,3117.0,3114.2732,847.08905
253,6055,199417.0,3126.0,3115.2114,848.2301
254,6072,199437.0,3143.0,3117.419,850.9149
255,6089,199447.0,3103.0,3116.2654,849.5119
256,6105,199467.0,3120.0,3116.3975,849.6726
257,6122,199487.0,3117.0,3117.2996,850.7697
258,6138,199507.0,3115.0,3116.799,850.161
259,6155,199517.0,3118.0,3116.895,850.2778
260,6171,199537.0,3118.0,3116.5496,849.85754
