sample,time_ms,raw,smoothed,frequency
156,3588,2945.0,2947.02,643.89185
157,3604,2936.0,2946.14,642.60254
158,3621,2898.0,2940.07,635.2204
159,3637,2868.0,2934.3,628.20276
160,3652,2798.0,2916.46,606.5054
161,3670,2681.0,2885.22,568.51074
162,3687,2613.0,2863.45,542.0337
163,3704,2458.0,2807.65,474.1688
164,3719,2372.0,2772.79,431.77167
165,3738,2228.0,2693.82,335.7271
166,3754,2184.0,2615.96,241.0324
167,3770,2272.0,2558.71,171.404
168,3787,2340.0,2541.21,150.12022
169,3804,2416.0,2519.92,124.22693
170,3821,2404.0,2510.65,112.95258
171,3837,2298.0,2484.31,100.0
172,3855,2116.0,2432.74,100.0
173,3871,2168.0,2411.57,100.0
174,3888,2408.0,2402.19,100.0
175,3904,2609.0,2427.11,100.0
176,3921,2689.0,2448.06,100.0
177,3937,2806.0,2499.21,100.0
178,3954,2864.0,2553.33,164.8609
179,3971,2881.0,2579.54,196.73788
180,3987,2885.0,2626.31,253.62035
181,4004,2896.0,2667.52,303.74057
182,4021,2904.0,2686.44,326.75128
183,4038,2904.0,2720.44,368.10263
184,4054,2901.0,2734.89,385.6769
185,4071,2891.0,2759.6,415.72986
186,4087,2882.0,2778.62,438.8623
187,4104,2886.0,2787.21,449.30942
188,4119,2896.0,2803.63,469.2796
189,4138,2904.0,2818.75,487.6689
190,4154,2908.0,2825.89,496.35257
191,4171,2910.0,2838.74,511.98108
192,4188,2908.0,2849.67,525.27423
193,4203,2908.0,2854.34,530.95416
194,4221,2912.0,2862.75,541.18243
195,4235,2916.0,2867.01,546.3635
196,4252,2920.0,2875.15,556.2634
197,4270,2924.0,2882.51,565.21484
198,4286,2926.0,2885.99,569.44727
199,4305,2928.0,2892.44,577.2918
200,4320,2926.0,2898.04,584.1027
201,4336,2928.0,2900.43,587.0094
202,4354,2916.0,2903.19,590.3661
203,4371,2874.0,2900.47,587.0581
204,4387,2844.0,2895.96,581.57294
205,4404,2748.0,2877.2,558.7567
206,4420,2624.0,2843.17,517.36884
207,4438,2560.0,2820.52,489.82162
208,4454,2425.0,2764.99,422.28513
209,4470,2283.0,2696.4,338.86475
210,4488,2221.0,2658.37,292.6123
211,4504,2213.0,2587.97,206.99051
212,4522,2371.0,2547.95,158.3175
213,4537,2436.0,2538.99,147.42026
214,4554,2487.0,2530.05,136.54736
215,4568,2488.0,2526.69,132.46074
216,4588,2489.0,2521.12,125.68663
217,4603,2422.0,2509.65,111.73637
218,4622,2138.0,2463.6,100.0
219,4636,2147.0,2438.27,100.0
220,4655,2450.0,2429.4,100.0
221,4671,2565.0,2440.25,100.0
222,4688,2756.0,2482.79,100.0
223,4703,2864.0,2538.4,146.70258
224,4721,2888.0,2566.37,180.72041
225,4736,2905.0,2618.82,244.5109
226,4754,2913.0,2663.49,298.83917
227,4771,2924.0,2684.33,324.18524
228,4788,2932.0,2722.23,370.27972
229,4804,2940.0,2755.38,410.59714
230,4820,2932.0,2769.51,427.78244
231,4837,2922.0,2793.45,456.8986
232,4854,2918.0,2803.41,469.01205
233,4871,2908.0,2819.77,488.9095
234,4885,2902.0,2832.55,504.45276
235,4902,2901.0,2838.03,511.11758
236,4922,2908.0,2848.63,524.0093
237,4937,2908.0,2858.04,535.4541
238,4954,2900.0,2861.4,539.5404
239,4969,2882.0,2865.59,544.6366
240,4988,2841.0,2863.29,541.83923
241,5004,2812.0,2859.18,536.84045
242,5018,2736.0,2843.21,517.4175
243,5035,2690.0,2830.95,502.50668
244,5053,2578.0,2796.44,460.53506
245,5069,2456.0,2749.01,402.85
246,5088,2384.0,2719.81,367.33655
247,5104,2256.0,2653.28,286.42163
248,5121,2209.0,2585.26,203.69461
249,5138,2349.0,2542.71,151.94455
250,5154,2433.0,2533.93,141.26614
251,5171,2498.0,2526.35,132.04742
252,5188,2512.0,2525.21,130.66077
253,5204,2524.0,2524.73,130.077
254,5219,2517.0,2524.11,129.3231
255,5237,2388.0,2510.56,112.843315
256,5254,2136.0,2458.92,100.0
257,5270,2380.0,2435.09,100.0
258,5286,2497.0,2440.05,100.0
259,5303,2700.0,2473.35,100.0
260,5321,2772.0,2497.24,100.0
261,5335,2858.0,2549.86,160.64067
262,5355,2892.0,2601.09,222.9474
263,5371,2900.0,2625.0,252.02702
264,5388,2892.0,2667.19,303.3391
265,5404,2887.0,2700.58,343.94873
266,5420,2897.0,2716.3,363.06763
267,5437,2917.0,2746.46,399.7486
268,5455,2926.0,2773.6,432.7569
269,5470,2928.0,2785.95,447.77698
270,5487,2933.0,2808.76,475.51892
271,5505,2936.0,2828.08,499.0163
272,5520,2935.0,2836.63,509.4147
273,5537,2941.0,2852.37,528.5582
274,5552,2944.0,2859.7,537.4729
275,5569,2945.0,2872.73,553.32025
276,5588,2946.0,2883.91,566.9175
277,5603,2948.0,2889.04,573.1568
278,5621,2944.0,2897.55,583.50684
279,5637,2917.0,2901.42,588.21344
280,5653,2909.0,2902.03,588.95544
281,5670,2868.0,2898.57,584.7474
282,5687,2825.0,2888.96,573.05945
283,5704,2801.0,2881.93,564.5094
284,5721,2744.0,2863.68,542.3135
285,5737,2656.0,2835.46,507.99182
286,5755,2600.0,2816.63,485.0904
287,5771,2489.0,2770.79,429.33923
288,5787,2354.0,2711.56,357.3028
289,5805,2281.0,2677.11,315.40417
290,5820,2192.0,2604.95,227.64185
291,5837,2246.0,2546.21,156.20131
292,5854,2308.0,2527.16,133.03232
293,5869,2434.0,2508.28,110.070305
294,5888,2469.0,2505.14,106.25122
295,5904,2505.0,2504.09,104.974434
296,5921,2523.0,2506.48,107.88106
297,5938,2538.0,2509.0,110.945946
298,5954,2556.0,2516.07,119.54468
299,5971,2515.0,2518.34,122.30551
300,5988,2444.0,2512.39,115.06879
301,6004,2224.0,2476.12,100.0
302,6022,2210.0,2432.3,100.0
303,6038,2275.0,2419.71,100.0
304,6055,2401.0,2412.13,100.0
305,6071,2493.0,2421.53,100.0
306,6088,2523.0,2429.65,100.0
307,6103,2560.0,2448.64,100.0
308,6119,2588.0,2459.79,100.0
309,6138,2648.0,2486.42,100.0
310,6154,2712.0,2518.79,122.85275
311,6171,2736.0,2536.16,143.97827
312,6188,2776.0,2571.38,186.81337
313,6203,2810.0,2606.86,229.965
314,6221,2825.0,2624.31,251.18791
315,6237,2804.0,2652.86,285.91095
316,6252,2800.0,2664.64,300.23773
317,6269,2810.0,2686.52,326.8487
318,6288,2828.0,2707.44,352.2918
319,6304,2838.0,2717.89,365.00122
320,6319,2854.0,2738.5,390.06757
321,6338,2864.0,2757.78,413.51624
322,6354,2856.0,2765.64,423.07553
323,6371,2860.0,2779.54,439.9811
324,6387,2867.0,2792.75,456.0473
325,6404,2869.0,2798.85,463.46634
326,6421,2876.0,2810.19,477.25803
327,6438,2874.0,2820.14,489.35934
328,6454,2880.0,2824.93,495.18506
329,6470,2874.0,2832.91,504.8904
330,6485,2877.0,2836.43,509.17154
331,6502,2872.0,2841.9,515.8242
332,6521,2866.0,2846.04,520.8595
333,6538,2860.0,2848.48,523.827
334,6553,2856.0,2849.08,524.5569
335,6569,2860.0,2850.46,526.2351
336,6585,2864.0,2851.55,527.5609
337,6605,2859.0,2852.76,529.0325
338,6621,2857.0,2853.78,530.273
339,6636,2852.0,2853.64,530.10254
340,6655,2848.0,2852.77,529.0446
341,6671,2856.0,2852.83,529.1177
342,6686,2852.0,2852.76,529.0325
343,6704,2843.0,2851.63,527.65796
344,6720,2844.0,2850.46,526.2351
345,6737,2848.0,2850.26,525.9919
346,6754,2849.0,2849.99,525.6635
347,6771,2849.0,2849.99,525.6635
348,6786,2848.0,2849.83,525.469
349,6805,2848.0,2849.62,525.2136
350,6820,2848.0,2849.49,525.0554
351,6838,2848.0,2849.26,524.77563
352,6854,2850.0,2849.3,524.82434
353,6871,2848.0,2849.2,524.70264
354,6887,2854.0,2849.79,525.4203
355,6904,2858.0,2850.9,526.77014
356,6921,2856.0,2851.31,527.26904
357,6936,2856.0,2852.18,528.3269
358,6952,2856.0,2852.48,528.6919
359,6972,2849.0,2852.48,528.6919
360,6986,2856.0,2852.76,529.0325
361,7005,2861.0,2853.66,530.12695
362,7021,2860.0,2854.16,530.73505
363,7035,2865.0,2855.75,532.66895
364,7052,2866.0,2856.57,533.6663
365,7072,2864.0,2857.71,535.0527
366,7086,2864.0,2858.68,536.23236
367,7104,2859.0,2858.8,536.3784
368,7121,2853.0,2858.34,535.81903
369,7137,2840.0,2856.11,533.1069
370,7154,2825.0,2853.62,530.0785
371,7171,2832.0,2850.3,526.04065
372,7187,2834.0,2847.72,522.90265
373,7204,2833.0,2846.55,521.47974
374,7221,2836.0,2844.63,519.1445
375,7235,2840.0,2844.26,518.6946
376,7255,2856.0,2845.48,520.17834
377,7270,2861.0,2847.57,522.72034
378,7287,2877.0,2851.5,527.5
379,7304,2884.0,2854.1,530.6623
380,7321,2906.0,2861.33,539.4555
381,7338,2928.0,2870.99,545.17163
382,7354,2932.0,2875.87,557.13934
383,7370,2928.0,2883.65,566.6012
384,7386,2928.0,2887.2,570.9189
385,7403,2929.0,2893.33,578.37445
386,7420,2925.0,2898.41,584.5526
387,7438,2923.0,2900.38,586.9485
388,7454,2920.0,2903.39,590.6094
389,7471,2929.0,2907.11,595.1339
390,7486,2932.0,2909.1,597.5542
391,7504,2936.0,2913.08,602.3947
392,7520,2937.0,2915.0,604.72974
393,7538,2934.0,2918.21,608.6337
394,7552,2921.0,2919.15,609.77686
395,7571,2920.0,2919.36,610.0326
396,7587,2920.0,2919.41,610.09314
397,7605,2929.0,2920.51,611.43115
398,7621,2938.0,2922.83,614.2528
399,7638,2940.0,2924.21,615.931
400,7654,2934.0,2925.93,618.0229
401,7671,2940.0,2927.06,619.3974
402,7687,2948.0,2929.61,622.4988
403,7702,2951.0,2931.32,624.5784
404,7719,2960.0,2935.29,629.4068
405,7738,2961.0,2938.87,633.7609
406,7754,2957.0,2941.87,637.4096
407,7770,2965.0,2943.72,639.6594
408,7787,2968.0,2947.45,644.1959
409,7804,2972.0,2949.42,646.5918
410,7821,2970.0,2952.5,650.3378
411,7838,2976.0,2955.82,654.37573
412,7854,2976.0,2957.43,656.3337
413,7871,2974.0,2959.83,659.2528
414,7887,2965.0,2960.7,660.3107
415,7905,2966.0,2961.12,660.8217
416,7921,2964.0,2961.86,661.72174
417,7937,2967.0,2962.8,662.8649
418,7955,2968.0,2963.21,663.36346
419,7971,2968.0,2963.65,663.8985
420,7985,2968.0,2964.0,664.32434
421,8004,2976.0,2965.7,666.39185
422,8021,2970.0,2966.5,667.36487
423,8037,2960.0,2966.02,666.7811
424,8054,2949.0,2964.66,665.1269
425,8071,2913.0,2958.42,657.5378
426,8087,2880.0,2952.14,649.8999
427,8103,2803.0,2932.25,625.7095
428,8120,2708.0,2901.49,588.2986
429,8137,2650.0,2881.37,563.8285
430,8154,2546.0,2833.83,506.00955
431,8171,2432.0,2776.3,436.04062
432,8187,2384.0,2744.92,397.87558
433,8205,2313.0,2681.15,320.31744
434,8221,2265.0,2618.7,244.3648
435,8238,2248.0,2589.05,208.30411
436,8255,2253.0,2536.77,144.72029
437,8271,2290.0,2497.03,100.0
438,8288,2327.0,2483.42,100.0
439,8304,2296.0,2457.43,100.0
440,8322,2258.0,2427.39,100.0
441,8337,2264.0,2414.32,100.0
442,8355,2305.0,2395.91,100.0
443,8371,2329.0,2390.55,100.0
444,8386,2370.0,2385.92,100.0
445,8405,2414.0,2388.4,100.0
446,8421,2448.0,2393.17,100.0
447,8438,2536.0,2411.72,100.0
448,8454,2619.0,2440.47,100.0
449,8471,2658.0,2457.87,100.0
450,8487,2721.0,2495.93,100.0
451,8505,2759.0,2535.23,142.84727
452,8519,2770.0,2554.02,165.70003
453,8538,2792.0,2589.69,209.08237
454,8553,2799.0,2606.43,229.44182
455,8571,2822.0,2638.73,268.72565
456,8586,2842.0,2669.07,305.62576
457,8604,2848.0,2683.39,323.04175
458,8621,2859.0,2709.99,355.39325
459,8636,2872.0,2734.44,385.12967
460,8654,2880.0,2746.08,399.28656
461,8671,2892.0,2767.83,425.7393
462,8688,2892.0,2786.9,448.9323
463,8704,2890.0,2795.15,458.9661
464,8721,2897.0,2810.43,477.54993
465,8737,2904.0,2824.28,494.39465
466,8754,2904.0,2830.66,502.15396
467,8771,2908.0,2842.39,516.42017
468,8788,2900.0,2851.54,527.5487
469,8804,2900.0,2855.41,532.2553
470,8821,2902.0,2862.72,541.14594
471,8837,2904.0,2866.02,545.1595
472,8854,2904.0,2872.15,552.61475
473,8868,2892.0,2875.71,556.9446
474,8888,2891.0,2876.94,558.4405
475,8902,2897.0,2879.8,561.91895
476,8919,2898.0,2882.74,565.4946
477,8938,2898.0,2883.96,566.97833
478,8953,2898.0,2886.12,569.6056
479,8971,2898.0,2888.09,572.00146
480,8988,2904.0,2889.36,573.5461
481,9004,2915.0,2892.78,577.70544
482,9021,2916.0,2896.35,582.04736
483,9038,2920.0,2898.24,584.34595
484,9054,2922.0,2901.74,588.60266
485,9071,2928.0,2903.84,591.15686
486,9087,2932.0,2907.95,596.15533
487,9104,2938.0,2912.42,601.5918
488,9122,2944.0,2914.94,604.6566
489,9137,2944.0,2919.41,610.09314
490,9155,2944.0,2922.89,614.32556
491,9170,2932.0,2923.62,615.2137
492,9186,2920.0,2923.65,615.2499
493,9205,2890.0,2919.88,610.6647
494,9220,2867.0,2915.65,605.52014
495,9236,2798.0,2900.52,587.1189
496,9255,2701.0,2873.63,554.4147
497,9270,2657.0,2856.3,533.3379
498,9287,2566.0,2815.1,483.22983
499,9303,2532.0,2792.45,455.68237
500,9319,2448.0,2742.56,395.00546
501,9336,2365.0,2687.14,327.60257
502,9355,2333.0,2658.81,293.14737
503,9370,2288.0,2603.33,225.67172
504,9388,2275.0,2552.97,164.42294
505,9404,2286.0,2531.61,138.44473
506,9421,2352.0,2500.86,101.046074
507,9436,2332.0,2476.69,100.0
508,9455,2316.0,2463.83,100.0
509,9471,2322.0,2441.09,100.0
510,9486,2338.0,2424.67,100.0
511,9505,2352.0,2418.85,100.0
512,9519,2370.0,2410.61,100.0
513,9539,2376.0,2404.71,100.0
514,9553,2378.0,2402.57,100.0
515,9571,2384.0,2399.5,100.0
516,9588,2400.0,2399.54,100.0
517,9605,2428.0,2402.81,100.0
518,9622,2464.0,2410.59,100.0
519,9637,2477.0,2415.9,100.0
520,9654,2512.0,2429.48,100.0
521,9671,2544.0,2445.45,100.0
522,9688,2548.0,2453.66,100.0
523,9703,2561.0,2470.0,100.0
524,9721,2581.0,2486.24,100.0
525,9736,2586.0,2494.22,100.0
526,9755,2602.0,2510.33,112.56361
527,9770,2620.0,2526.37,132.07176
528,9788,2632.0,2534.82,142.34872
529,9803,2644.0,2551.07,162.11224
530,9821,2659.0,2567.14,181.65663
531,9838,2672.0,2575.53,191.86084
532,9854,2676.0,2590.66,210.26205
533,9871,2681.0,2597.89,219.05527
534,9888,2668.0,2609.17,232.77423
535,9905,2653.0,2616.42,241.5918
536,9920,2651.0,2619.19,244.96074
537,9938,2656.0,2624.4,251.29718
538,9953,2672.0,2630.83,259.11768
539,9971,2687.0,2635.32,264.57846
540,9988,2716.0,2646.83,278.57712
541,10004,2740.0,2660.48,295.17834
542,10023,2752.0,2674.54,312.27844
543,10037,2756.0,2681.05,320.19598
544,10055,2753.0,2692.18,333.73236
545,10071,2756.0,2697.28,339.93518
546,10088,2763.0,2707.53,352.4014
547,10104,2760.0,2711.72,357.49728
548,10121,2753.0,2718.36,365.57312
549,10137,2752.0,2723.82,372.2136
550,10154,2752.0,2726.07,374.95007
551,10170,2749.0,2729.82,379.5109
552,10188,2750.0,2733.06,383.45142
553,10204,2752.0,2734.58,385.30008
554,10221,2756.0,2738.16,389.65396
555,10238,2753.0,2740.52,392.52435
556,10255,2752.0,2741.43,393.63098
557,10271,2749.0,2742.82,395.3217
558,10288,2749.0,2743.31,395.91763
559,10304,2749.0,2744.11,396.89066
560,10320,2748.0,2745.0,397.973
561,10338,2746.0,2745.23,398.2527
562,10354,2753.0,2745.85,399.00687
563,10372,2760.0,2747.58,401.1109
564,10387,2768.0,2749.22,403.10538
565,10404,2764.0,2751.93,406.40128
566,10419,2760.0,2753.46,408.26212
567,10438,2757.0,2753.75,408.61487
568,10454,2756.0,2753.94,408.8459
569,10471,2755.0,2754.11,409.05283
570,10488,2752.0,2753.94,408.8459
571,10505,2752.0,2753.71,408.5662
572,10521,2752.0,2753.45,408.24994
573,10536,2753.0,2753.41,408.20123
574,10553,2759.0,2754.13,409.07687
575,10572,2760.0,2754.14,409.08905
576,10587,2761.0,2754.69,409.75806
577,10605,2768.0,2756.22,411.6189
578,10620,2764.0,2756.84,412.3731
579,10637,2770.0,2758.79,414.74466
580,10655,2774.0,2760.83,417.22577
581,10670,2773.0,2761.81,418.41763
582,10686,2782.0,2764.47,421.65268
583,10704,2782.0,2767.16,424.92422
584,10721,2780.0,2768.19,426.17694
585,10738,2779.0,2769.92,428.28098
586,10752,2780.0,2770.73,429.26617
587,10771,2781.0,2772.23,431.0905
588,10785,2786.0,2774.27,433.57162
589,10805,2789.0,2776.39,436.14984
590,10820,2792.0,2777.64,437.67014
591,10838,2795.0,2780.01,440.5527
592,10853,2796.0,2781.29,442.1095
593,10871,2800.0,2783.87,445.24744
594,10888,2802.0,2786.51,448.4581
595,10904,2804.0,2787.91,450.1607
596,10921,2816.0,2791.93,455.0499
597,10937,2825.0,2797.01,461.2284
598,10954,2829.0,2799.57,464.34198
599,10971,2834.0,2804.34,470.14334
600,10987,2830.0,2808.28,474.93515
601,11004,2836.0,2810.5,477.63513
602,11021,2833.0,2814.03,481.9284
603,11037,2834.0,2817.54,486.19736
604,11055,2838.0,2819.17,488.17966
605,11071,2835.0,2821.53,491.05005
606,11087,2838.0,2822.85,492.65552
607,11105,2838.0,2825.47,495.84186
608,11120,2837.0,2827.39,498.1769
609,11138,2836.0,2828.08,499.0163
610,11154,2838.0,2829.53,500.7798
611,11171,2840.0,2831.21,502.8229
612,11188,2836.0,2831.59,503.28525
613,11204,2840.0,2832.81,504.769
614,11221,2840.0,2833.84,506.02173
615,11238,2838.0,2834.17,506.42288
616,11254,2839.0,2834.55,506.8852
617,11269,2836.0,2834.66,507.0188
618,11288,2842.0,2835.35,507.85825
619,11304,2838.0,2835.9,508.52692
620,11321,2837.0,2835.99,508.63647
621,11337,2835.0,2835.91,508.5391
622,11354,2832.0,2835.61,508.17447
623,11369,2836.0,2835.64,508.21066
624,11388,2833.0,2835.23,507.71213
625,11404,2828.0,2834.42,506.72693
626,11421,2824.0,2833.58,505.7055
627,11436,2817.0,2831.4,503.05392
628,11455,2811.0,2828.64,499.69714
629,11471,2808.0,2826.99,497.69055
630,11487,2799.0,2823.28,493.17844
631,11503,2788.0,2820.45,489.73642
632,11522,2777.0,2814.3,482.2568
633,11538,2768.0,2807.48,473.96213
634,11555,2770.0,2802.02,467.32166
635,11570,2764.0,2798.98,463.62433
636,11587,2764.0,2793.24,456.64322
637,11604,2768.0,2791.22,454.18646
638,11621,2780.0,2789.05,451.54733
639,11637,2792.0,2788.92,451.3891
640,11653,2790.0,2789.0,451.48648
641,11671,2792.0,2789.61,452.22852
642,11686,2793.0,2789.88,452.5566
643,11703,2800.0,2790.99,453.90674
644,11721,2797.0,2791.92,455.03772
645,11735,2796.0,2792.24,455.42703
646,11752,2801.0,2793.59,457.06903
647,11772,2800.0,2794.57,458.2609
648,11788,2794.0,2794.71,458.43103
649,11802,2796.0,2794.81,458.55276
650,11822,2802.0,2795.77,459.7203
651,11837,2805.0,2796.51,460.6203
652,11854,2812.0,2798.52,463.06488
653,11870,2808.0,2800.27,465.19327
654,11888,2812.0,2801.21,466.33643
655,11902,2805.0,2802.08,467.39468
656,11921,2816.0,2804.22,469.99728
657,11936,2824.0,2805.8,471.919
658,11952,2820.0,2807.98,474.57025
659,11970,2828.0,2811.06,478.31628
660,11986,2826.0,2812.25,479.76352
661,12005,2826.0,2814.81,482.8771
662,12020,2829.0,2815.94,484.25128
663,12035,2821.0,2817.38,486.00256
664,12054,2794.0,2815.19,483.3391
665,12071,2770.0,2811.57,478.93655
666,12086,2688.0,2795.39,459.25797
667,12102,2612.0,2770.02,428.4027
668,12121,2554.0,2739.05,390.73654
669,12138,2528.0,2722.16,370.1945
670,12155,2468.0,2685.18,325.21884
671,12171,2441.0,2665.65,301.4661
672,12187,2410.0,2627.41,254.95801
673,12204,2407.0,2593.34,213.52173
674,12221,2421.0,2579.55,196.75006
675,12238,2460.0,2559.35,172.18256
676,12252,2474.0,2552.52,163.8757
677,12269,2483.0,2541.62,150.61906
678,12288,2489.0,2533.54,140.79193
679,12303,2496.0,2530.53,137.13112
680,12322,2510.0,2526.94,132.7648
681,12337,2519.0,2525.5,131.01352
682,12355,2524.0,2525.38,130.86743
683,12371,2517.0,2524.68,130.01613
684,12387,2513.0,2522.89,127.83906
685,12405,2521.0,2522.74,127.656746
686,12419,2546.0,2525.28,130.74599
687,12438,2568.0,2531.18,137.92154
688,12454,2581.0,2535.16,142.76205
689,12470,2595.0,2543.84,153.31903
690,12488,2621.0,2554.73,166.56349
691,12504,2636.0,2561.24,174.48108
692,12519,2656.0,2580.5,197.9054
693,12536,2665.0,2587.26,206.12704
